,company,type,rating,age,highly_ratedFOR,critically_ratedFOR
1181,TÜV NORD,Other ,3.8,35 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
1182,Kurlon,Furniture & Furnishing ,4.3,62 years old,"Work Life Balance, Company Culture, Work Satisfaction",
1183,IMPACT Infotech,Recruitment ,3.5,30 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
1184,Amphenol Interconnect,Electrical Equipment ,4.3,52 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
1185,GirnarSoft,IT Services & Consulting ,3.6,17 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
1186,Svatantra Microfin,NBFC ,4.2,12 years old,"Job Security, Company Culture, Skill Development / Learning",
1187,Kutumbh Care,Recruitment ,3.9,17 years old,"Skill Development / Learning, Work Satisfaction",Promotions / Appraisal
1188,Veradigm,,4.1,,"Company Culture, Work Life Balance, Job Security",
1189,Bridge & Roof Co,Engineering & Construction ,3.6,104 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
1190,Salcomp Manufacturing,Electronics Manufacturing ,4.2,18 years old,"Job Security, Skill Development / Learning, Work Life Balance",
1191,Steag Energy Services,Power ,4.2,24 years old,"Job Security, Work Life Balance, Skill Development / Learning",
1192,Prism Johnson,Building Material ,4,32 years old,Promotions / Appraisal,
1193,GE Healthcare,Healthcare ,4.2,30 years old,"Job Security, Company Culture, Work Life Balance",
1194,ICA Edu Skills,Education & Training ,3.8,25 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
1195,Jaya Hind Industries,Auto Components ,3.8,77 years old,"Job Security, Promotions / Appraisal, Company Culture",
1196,ACL Digital,IT Services & Consulting ,3.6,32 years old,"Promotions / Appraisal, Skill Development / Learning, Job Security",
1197,NoBrokerHOOD,Software Product ,3.4,,"Job Security, Work Satisfaction, Company Culture",
1198,Deepak Fertilisers and Petrochemicals,Agro Chemicals ,3.9,45 years old,Job Security,Promotions / Appraisal
1199,Bitwise Solutions,IT Services & Consulting ,4.2,28 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
1200,Edubridge Learning,EdTech ,3.9,15 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
1201,Deccan Fine Chemicals,Agro Chemicals ,3.7,16 years old,"Company Culture, Work Satisfaction, Promotions / Appraisal",
1202,McDermott International,Engineering & Construction ,4.2,101 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
1203,Carnival Cruise Lines,Sports & Recreation ,4.5,52 years old,"Company Culture, Job Security, Skill Development / Learning",
1204,Transsion,Consumer Electronics & Appliances ,4.2,18 years old,"Job Security, Company Culture, Work Life Balance",
1205,Medlife,Internet ,3.7,10 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
1206,Simplilearn,EdTech ,3.2,15 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
1207,Tata Hitachi Construction Machinery,Industrial Machinery ,4.1,25 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
1208,Indium Software,IT Services & Consulting ,4.1,25 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
1209,Bpo Convergence,BPO ,3.6,10 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
1210,Ashirvad Pipes,Building Material ,4.1,49 years old,"Salary & Benefits, Job Security, Skill Development / Learning",
1211,Advik Hi Tech,Auto Components ,3.8,24 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1212,Union Bank of India,Banking ,4.1,105 years old,"Job Security, Skill Development / Learning",
1213,Fractal Analytics,Analytics & KPO ,4.1,24 years old,"Job Security, Company Culture, Work Life Balance",
1214,TCNS Clothing Company,Fashion & Textile ,4,23 years old,"Skill Development / Learning, Job Security, Work Life Balance",
1215,Amazon Services,,4.2,,"Salary & Benefits, Skill Development / Learning, Company Culture",
1216,H&M,Fashion & Textile ,4,77 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
1217,Varthana,Financial Services ,4.5,11 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
1218,Ugam Solution,IT Services & Consulting ,3.7,24 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1219,L&T Power,Power ,3.9,18 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
1220,Comviva Technology,IT Services & Consulting ,3.3,25 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
1221,Swaraj Tractors,Automobile ,4.2,62 years old,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
1222,Times Internet,Internet ,3.6,25 years old,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
1223,Baxter International,Healthcare ,4.1,93 years old,"Work Life Balance, Company Culture, Salary & Benefits","Promotions / Appraisal, Job Security"
1224,Silaris Informations,BPO ,3.2,13 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
1225,Embibe,EdTech ,3.7,12 years old,"Job Security, Promotions / Appraisal",
1226,Amazon Web Services,Software Product ,4,18 years old,"Salary & Benefits, Skill Development / Learning, Company Culture",Job Security
1227,Flash Electronics,Electronics Manufacturing ,3.7,35 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
1228,Telenor,Telecom ,4.5,15 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
1229,Citigroup,Banking ,3.8,212 years old,"Salary & Benefits, Job Security","Work Satisfaction, Promotions / Appraisal"
1230,Lumen Technologies,Hardware & Networking ,4.1,94 years old,"Work Life Balance, Job Security, Company Culture",
1231,Re Sustainability Limited,Waste Management ,4,30 years old,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
1232,The Lalit,Hospitality ,3.9,43 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
1233,Lea Associates South Asia,Engineering & Construction ,4.3,31 years old,"Work Life Balance, Company Culture, Work Satisfaction",
1234,Nippon Life India Asset Management,Financial Services ,4.7,29 years old,"Company Culture, Work Life Balance, Job Security",
1235,IFFCO,Agro Chemicals ,4.1,57 years old,"Job Security, Salary & Benefits, Work Life Balance",
1236,Wipro Infrastructure Engineering,Industrial Machinery ,3.8,48 years old,"Promotions / Appraisal, Salary & Benefits",
1237,Engineers India,1k-5k Employees ,4.3,59 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
1238,Chennai Radha Engineering Works,Engineering & Construction ,4,19 years old,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
1239,HP India,Consumer Electronics & Appliances ,4.2,27 years old,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
1240,Rallis India,Agro Chemicals ,4.3,76 years old,"Job Security, Company Culture, Work Life Balance",
1241,Primus Global Technologies,IT Services & Consulting ,4.1,22 years old,"Work Life Balance, Company Culture, Work Satisfaction",
1242,Finolex Cables,Electrical Equipment ,3.9,68 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
1243,Hitachi Systems Micro Clinic,IT Services & Consulting ,3.9,33 years old,"Job Security, Work Life Balance, Skill Development / Learning",
1244,Rodic Consultants,Engineering & Construction ,4.4,24 years old,"Work Life Balance, Company Culture, Work Satisfaction",
1245,Pratap Technocrats,Telecom ,4,26 years old,Promotions / Appraisal,
1246,Eris Lifesciences,Pharma ,3.9,17 years old,Salary & Benefits,
1247,CSM Technologies,IT Services & Consulting ,4.5,26 years old,"Job Security, Work Life Balance, Company Culture",
1248,Rico Auto Industries,Auto Components ,3.8,41 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
1249,Balkrishna Industries,Auto Components ,4.1,37 years old,"Salary & Benefits, Job Security",
1250,MattsenKumar,BPO ,3.6,14 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
1251,Denave,Marketing & Advertising ,3.8,25 years old,Promotions / Appraisal,
1252,Cogoport,Internet ,3.1,8 years old,"Job Security, Promotions / Appraisal, Company Culture",
1253,Tata Cummins,Auto Components ,4.4,31 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
1254,Government of India,Government ,4.2,74 years old,"Job Security, Work Life Balance, Work Satisfaction",
1255,Astral Adhesives,Chemicals ,4.1,37 years old,Salary & Benefits,
1256,Shaktiman Tirth Agro Technology,Industrial Machinery ,4.3,27 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
1257,Biba Apparels,Fashion & Textile ,3.9,38 years old,Promotions / Appraisal,
1258,India Cements,Building Material ,3.8,78 years old,Job Security,Promotions / Appraisal
1259,Crowne Plaza,Hospitality ,4.1,41 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
1260,Crowne Plaza,Hospitality ,4.1,41 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
1261,Wonder Cement,Building Material ,4.2,14 years old,"Skill Development / Learning, Job Security, Salary & Benefits",
1262,PUMA,Fashion & Textile ,4.3,76 years old,"Job Security, Company Culture, Skill Development / Learning",
1263,Hindustan Sanitaryware & Industries,Furniture & Furnishing ,4.1,64 years old,"Job Security, Work Life Balance, Skill Development / Learning",
1264,EMERSON PROCESS MANAGEMENT,Industrial Machinery ,4,134 years old,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
1265,MG Motor,Automobile ,4.1,100 years old,"Company Culture, Skill Development / Learning, Salary & Benefits",
1266,Indo Autotech,Auto Components ,3.9,50 years old,Skill Development / Learning,Job Security
1267,Skipper,Power ,3.8,43 years old,"Promotions / Appraisal, Job Security",
1268,Rohan Builders,Real Estate ,4.2,31 years old,"Company Culture, Skill Development / Learning, Salary & Benefits",
1269,DP World,Logistics ,4.1,19 years old,"Salary & Benefits, Company Culture, Job Security",Promotions / Appraisal
1270,Ups Logistics,Logistics ,4.1,117 years old,"Job Security, Salary & Benefits, Company Culture",
1271,Sharda Motor Industries,Auto Components ,3.8,38 years old,Promotions / Appraisal,
1272,Naukri,Internet ,4,28 years old,"Job Security, Company Culture, Work Life Balance",
1273,Central Industrial Security Force,Law Enforcement & Security ,4.5,55 years old,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
1274,Redington,Hardware & Networking ,4,25 years old,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
1275,JSW Group,Iron & Steel ,4.1,42 years old,"Job Security, Skill Development / Learning, Work Life Balance",
1276,Integreon,Legal ,3.5,24 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
1277,Toyo Engineeering,Engineering & Construction ,3.9,63 years old,Job Security,Work Life Balance
1278,Religare,Financial Services ,3.9,40 years old,"Promotions / Appraisal, Skill Development / Learning",
1279,Target,Retail ,4.3,122 years old,"Company Culture, Work Life Balance, Job Security",
1280,Progressive Infotech,IT Services & Consulting ,3.5,26 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
1281,Neeyamo Enterprise Solutions,1k-5k Employees ,3.7,15 years old,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
1282,Target,Retail ,4.3,122 years old,"Company Culture, Work Life Balance, Job Security",
1283,TDK India,Semiconductors ,4,2024 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
1284,KGISL,IT Services & Consulting ,3.2,28 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
1285,Isuzu Motors,Automobile ,4,12 years old,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
1286,Rane (Madras),Auto Components ,4,27 years old,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
1287,Xceedance,Insurance ,3.8,11 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
1288,NSB Bpo Solutions,BPO ,2.9,31 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
1289,Investors Clinic,Real Estate ,3.6,15 years old,,
1290,Ramco Systems,Software Product ,3.4,27 years old,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
1291,Fleetguard Filters,Auto Components ,4.2,37 years old,"Company Culture, Job Security, Salary & Benefits",Promotions / Appraisal
1292,Nlb Services,Recruitment ,4,17 years old,"Work Life Balance, Salary & Benefits, Company Culture",
1293,VA Tech Wabag,Waste Management ,4,100 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
1294,Zuventus Healthcare,Pharma ,3.9,22 years old,Promotions / Appraisal,
1295,MALABAR GOLD AND DIAMONDS,Jewellery ,4.2,31 years old,"Company Culture, Job Security, Skill Development / Learning",
1296,LifeCell International,Biotechnology ,3.5,20 years old,"Promotions / Appraisal, Job Security, Work Life Balance",
1297,HIL,Building Material ,4.2,78 years old,"Job Security, Company Culture, Skill Development / Learning",
1298,Ingram Micro,IT Services & Consulting ,3.9,45 years old,"Job Security, Company Culture, Skill Development / Learning",
1299,CMS Computers Limited (INDIA),IT Services & Consulting ,3.9,48 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
1300,Magna International,Auto Components ,4,67 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
1301,Fortrea Development India Private Limited,5k-10k Employees ,4.1,1 years old,"Job Security, Company Culture, Work Life Balance",
1302,Ukb Electronics,Electronics Manufacturing ,4.3,28 years old,"Skill Development / Learning, Salary & Benefits, Promotions / Appraisal",
1303,Bses Rajdhani Power,Power ,3.8,23 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1304,SKH Metals,Auto Components ,4.1,18 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
1305,Tafe Motors & Tractors,Automobile ,4,,"Promotions / Appraisal, Salary & Benefits",
1306,FIITJEE,Education & Training ,3.7,32 years old,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal
1307,Radical Minds,BPO ,2.9,14 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
1308,Sunbeam Auto,Auto Components ,3.7,38 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
1309,Icon Plc,Clinical Research ,4.1,34 years old,"Work Life Balance, Job Security, Company Culture",
